rollover_date,old_contract,new_contract,reason,old_volume,new_volume,old_open_interest,new_open_interest
2017-03-15,201703,201704,daily_max(open_interest),64623.0,31750.0,26420.0,16368.0
2017-04-19,201704,201705,daily_max(open_interest),63082.0,48753.0,17539.0,23526.0
2017-05-17,201705,201706,daily_max(open_interest),57768.0,35529.0,29023.0,27462.0
2017-06-21,201706,201707,daily_max(open_interest),63895.0,45489.0,26338.0,21412.0
2017-07-19,201707,201708,daily_max(open_interest),47870.0,40933.0,24709.0,16580.0
2017-08-16,201708,201709,daily_max(open_interest),70944.0,45663.0,14531.0,21478.0
2017-09-20,201709,201710,daily_max(open_interest),70684.0,51203.0,29465.0,20935.0
2017-10-18,201710,201711,daily_max(open_interest),55191.0,42763.0,23224.0,23614.0
2017-11-15,201711,201712,daily_max(open_interest),68135.0,37592.0,28433.0,23919.0
2017-12-20,201712,201801,daily_max(open_interest),76936.0,40839.0,25195.0,20058.0
2018-01-17,201801,201802,daily_max(open_interest),54968.0,38120.0,28564.0,22735.0
2018-02-21,201802,201803,daily_max(open_interest),87310.0,41348.0,18193.0,20405.0
2018-03-21,201803,201804,daily_max(open_interest),67164.0,36415.0,26847.0,20592.0
2018-04-18,201804,201805,daily_max(open_interest),100228.0,61992.0,22882.0,18699.0
2018-05-16,201805,201806,daily_max(open_interest),75287.0,39028.0,29460.0,24528.0
2018-06-20,201806,201807,daily_max(open_interest),87060.0,56432.0,33867.0,19647.0
2018-07-18,201807,201808,daily_max(open_interest),85314.0,53490.0,26228.0,19083.0
2018-08-15,201808,201809,daily_max(open_interest),89197.0,60937.0,24967.0,26588.0
2018-09-19,201809,201810,daily_max(open_interest),80596.0,38632.0,26987.0,22947.0
2018-10-17,201810,201811,daily_max(open_interest),121295.0,61603.0,20752.0,19002.0
2018-11-21,201811,201812,daily_max(open_interest),102415.0,53587.0,21287.0,20091.0
2018-12-19,201812,201901,daily_max(open_interest),92506.0,36051.0,18777.0,17627.0
2019-01-16,201901,201902,daily_max(open_interest),105497.0,37159.0,21815.0,23609.0
2019-02-20,201902,201903,daily_max(open_interest),48410.0,45995.0,26235.0,34904.0
2019-03-20,201903,201904,daily_max(open_interest),54036.0,35030.0,28521.0,28640.0
2019-04-17,201904,201905,daily_max(open_interest),67923.0,35139.0,26209.0,27354.0
2019-05-15,201905,201906,daily_max(open_interest),140234.0,49366.0,22395.0,20143.0
2019-06-19,201906,201907,daily_max(open_interest),61157.0,44103.0,29300.0,23483.0
