rollover_date,old_contract,new_contract,reason,old_volume,new_volume,old_open_interest,new_open_interest
2021-02-18,202102,202103,daily_max(volume),131543.0,220255.0,13269.0,35762.0
2021-03-18,202103,202104,daily_max(volume),119890.0,208417.0,22615.0,39312.0
2021-04-22,202104,202105,daily_max(volume),125045.0,275723.0,15127.0,41502.0
2021-05-20,202105,202106,daily_max(volume),201210.0,294859.0,8531.0,40439.0
2021-06-17,202106,202107,daily_max(volume),107959.0,174391.0,21033.0,36488.0
2021-07-22,202107,202108,daily_max(volume),152146.0,202778.0,14503.0,36310.0
2021-08-19,202108,202109,daily_max(volume),174379.0,312680.0,10865.0,38723.0
2021-09-16,202109,202110,daily_max(volume),135217.0,173623.0,14017.0,29561.0
2021-10-21,202110,202111,daily_max(volume),104963.0,202732.0,18665.0,33611.0
2021-11-18,202111,202112,daily_max(volume),79634.0,133881.0,17379.0,38816.0
2021-12-16,202112,202201,daily_max(volume),98636.0,144763.0,11030.0,38517.0
2022-01-20,202201,202202,daily_max(volume),122178.0,195321.0,13200.0,40131.0
2022-02-17,202202,202203,daily_max(volume),101247.0,197453.0,17206.0,41842.0
2022-03-17,202203,202204,daily_max(volume),142435.0,205037.0,13301.0,46503.0
2022-04-21,202204,202205,daily_max(volume),104786.0,153138.0,16438.0,40686.0
2022-05-19,202205,202206,daily_max(volume),94469.0,186588.0,16818.0,42140.0
2022-06-16,202206,202207,daily_max(volume),99890.0,220568.0,13606.0,46408.0
2022-07-21,202207,202208,daily_max(volume),116685.0,178593.0,15152.0,32901.0
2022-08-18,202208,202209,daily_max(volume),73810.0,123652.0,18722.0,35095.0
2022-09-22,202209,202210,daily_max(volume),81886.0,177707.0,18597.0,40074.0
2022-10-20,202210,202211,daily_max(volume),124390.0,247809.0,17152.0,36430.0
2022-11-17,202211,202212,daily_max(volume),144371.0,173685.0,11058.0,35589.0
2022-12-22,202212,202301,daily_max(volume),91700.0,136173.0,11394.0,44879.0
2023-01-31,202301,202302,daily_max(volume),70861.0,109792.0,11638.0,34070.0
2023-02-16,202302,202303,daily_max(volume),108521.0,138836.0,14234.0,38999.0
2023-03-16,202303,202304,daily_max(volume),90705.0,209582.0,10921.0,38765.0
2023-04-20,202304,202305,daily_max(volume),89473.0,173253.0,12772.0,38231.0
2023-05-18,202305,202306,daily_max(volume),100550.0,145273.0,15441.0,48965.0
2023-06-26,202306,202307,daily_max(volume),70068.0,109676.0,17133.0,38081.0
2023-07-20,202307,202308,daily_max(volume),111129.0,141361.0,13445.0,35534.0
2023-08-17,202308,202309,daily_max(volume),105339.0,216787.0,18425.0,41560.0
2023-09-21,202309,202310,daily_max(volume),83908.0,164002.0,14444.0,56691.0
2023-10-19,202310,202311,daily_max(volume),102556.0,128611.0,13717.0,44360.0
2023-11-16,202311,202312,daily_max(volume),79542.0,116017.0,12723.0,41203.0
2023-12-21,202312,202401,daily_max(volume),67886.0,111969.0,20896.0,45780.0
2024-01-18,202401,202402,daily_max(volume),109391.0,142228.0,20973.0,44558.0
2024-02-22,202402,202403,daily_max(volume),65505.0,133827.0,14338.0,42802.0
2024-03-21,202403,202404,daily_max(volume),109430.0,153888.0,17075.0,49956.0
2024-04-18,202404,202405,daily_max(volume),113801.0,197267.0,12721.0,39343.0
2024-05-16,202405,202406,daily_max(volume),116380.0,192890.0,17052.0,41399.0
2024-06-20,202406,202407,daily_max(volume),135385.0,156049.0,15453.0,41615.0
2024-07-18,202407,202408,daily_max(volume),151523.0,247279.0,19707.0,51576.0
2024-08-22,202408,202409,daily_max(volume),90343.0,139858.0,12161.0,36800.0
2024-09-19,202409,202410,daily_max(volume),88329.0,150001.0,14226.0,35067.0
2024-10-17,202410,202411,daily_max(volume),94640.0,141906.0,16933.0,34329.0
2024-11-21,202411,202412,daily_max(volume),86798.0,147283.0,18625.0,42231.0
2024-12-19,202412,202501,daily_max(volume),85895.0,136833.0,15544.0,36864.0
2025-01-16,202501,202502,daily_max(volume),68406.0,129782.0,15724.0,39132.0
2025-02-20,202502,202503,daily_max(volume),57653.0,117942.0,12811.0,33237.0
2025-03-20,202503,202504,daily_max(volume),78436.0,125586.0,14171.0,43660.0
2025-04-17,202504,202505,daily_max(volume),87376.0,157931.0,13649.0,23981.0
2025-05-22,202505,202506,daily_max(volume),71526.0,94706.0,11675.0,27852.0
2025-06-19,202506,202507,daily_max(volume),80467.0,98240.0,13379.0,28264.0
2025-07-17,202507,202508,daily_max(volume),67846.0,106832.0,10425.0,28941.0
2025-08-21,202508,202509,daily_max(volume),106213.0,115938.0,14440.0,36632.0
2025-09-18,202509,202510,daily_max(volume),64125.0,110204.0,14102.0,35920.0
2025-10-16,202510,202511,daily_max(volume),83176.0,165281.0,9438.0,31129.0
2025-11-20,202511,202512,daily_max(volume),84812.0,159027.0,12782.0,32737.0
2025-12-18,202512,202601,daily_max(volume),63146.0,124581.0,14633.0,35892.0
2026-01-22,202601,202602,daily_max(volume),101423.0,138979.0,11436.0,30539.0
2026-02-23,202602,202603,daily_max(volume),118747.0,78513.0,25892.0,22208.0
2026-03-19,202603,202604,daily_max(volume),82167.0,129783.0,11061.0,30913.0
2026-04-16,202604,202605,daily_max(volume),73414.0,119543.0,9240.0,25274.0
2026-05-21,202605,202606,daily_max(volume),90636.0,114875.0,10941.0,30578.0
2026-06-18,202606,202607,daily_max(volume),62629.0,135518.0,9429.0,28906.0
