check,status,details
trade_0009:exit_bar_index,OK,"actual=204, expected=204"
trade_0009:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0009:exit_price,OK,"actual=8777.0, expected=8777.0"
trade_0009:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0009:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0010:entry_is_next_bar,OK,"signal_i=205, entry_i=206"
trade_0010:entry_after_signal_date,OK,"signal=2015-11-09 00:00:00, entry=2015-11-10 00:00:00"
trade_0010:exit_not_before_entry,OK,"entry_i=206, exit_i=223"
trade_0010:signal_column_true,OK,short_entry@205
trade_0010:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0010:entry_price,OK,"actual=8579.0, expected=8579.0"
trade_0010:entry_date_matches_index,OK,"actual=2015-11-10 00:00:00, index_dt=2015-11-10 00:00:00"
trade_0010:exit_bar_index,OK,"actual=223, expected=223"
trade_0010:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0010:exit_price,OK,"actual=8475.0, expected=8475.0"
trade_0010:pnl_points,OK,"actual=104.0, expected=104.0"
trade_0010:pnl_amount,OK,"actual=5160.0, expected=5160.0"
trade_0011:entry_is_next_bar,OK,"signal_i=223, entry_i=224"
trade_0011:entry_after_signal_date,OK,"signal=2015-12-03 00:00:00, entry=2015-12-04 00:00:00"
trade_0011:exit_not_before_entry,OK,"entry_i=224, exit_i=224"
trade_0011:signal_column_true,OK,long_entry@223
trade_0011:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0011:entry_price,OK,"actual=8366.0, expected=8366.0"
trade_0011:entry_date_matches_index,OK,"actual=2015-12-04 00:00:00, index_dt=2015-12-04 00:00:00"
trade_0011:exit_bar_index,OK,"actual=224, expected=224"
trade_0011:exit_reason,OK,"actual=chandelier, expected=chandelier"
trade_0011:exit_price,OK,"actual=8393.0, expected=8393.0"
trade_0011:pnl_points,OK,"actual=27.0, expected=27.0"
trade_0011:pnl_amount,OK,"actual=1310.0, expected=1310.0"
trade_0012:entry_is_next_bar,OK,"signal_i=224, entry_i=225"
trade_0012:entry_after_signal_date,OK,"signal=2015-12-04 00:00:00, entry=2015-12-07 00:00:00"
trade_0012:exit_not_before_entry,OK,"entry_i=225, exit_i=225"
trade_0012:signal_column_true,OK,short_entry@224
trade_0012:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0012:entry_price,OK,"actual=8499.0, expected=8499.0"
trade_0012:entry_date_matches_index,OK,"actual=2015-12-07 00:00:00, index_dt=2015-12-07 00:00:00"
trade_0012:exit_bar_index,OK,"actual=225, expected=225"
trade_0012:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0012:exit_price,OK,"actual=8469.0, expected=8469.0"
trade_0012:pnl_points,OK,"actual=30.0, expected=30.0"
trade_0012:pnl_amount,OK,"actual=1460.0, expected=1460.0"
trade_0013:entry_is_next_bar,OK,"signal_i=225, entry_i=226"
trade_0013:entry_after_signal_date,OK,"signal=2015-12-07 00:00:00, entry=2015-12-08 00:00:00"
trade_0013:exit_not_before_entry,OK,"entry_i=226, exit_i=226"
trade_0013:signal_column_true,OK,long_entry@225
trade_0013:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0013:entry_price,OK,"actual=8441.0, expected=8441.0"
trade_0013:entry_date_matches_index,OK,"actual=2015-12-08 00:00:00, index_dt=2015-12-08 00:00:00"
trade_0013:exit_bar_index,OK,"actual=226, expected=226"
trade_0013:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0013:exit_price,OK,"actual=8340.0, expected=8340.0"
trade_0013:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0013:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0014:entry_is_next_bar,OK,"signal_i=226, entry_i=227"
trade_0014:entry_after_signal_date,OK,"signal=2015-12-08 00:00:00, entry=2015-12-09 00:00:00"
trade_0014:exit_not_before_entry,OK,"entry_i=227, exit_i=235"
trade_0014:signal_column_true,OK,short_entry@226
trade_0014:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0014:entry_price,OK,"actual=8302.0, expected=8302.0"
trade_0014:entry_date_matches_index,OK,"actual=2015-12-09 00:00:00, index_dt=2015-12-09 00:00:00"
trade_0014:exit_bar_index,OK,"actual=235, expected=235"
trade_0014:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0014:exit_price,OK,"actual=8284.0, expected=8284.0"
trade_0014:pnl_points,OK,"actual=18.0, expected=18.0"
trade_0014:pnl_amount,OK,"actual=860.0, expected=860.0"
trade_0015:entry_is_next_bar,OK,"signal_i=244, entry_i=245"
trade_0015:entry_after_signal_date,OK,"signal=2016-01-04 00:00:00, entry=2016-01-05 00:00:00"
trade_0015:exit_not_before_entry,OK,"entry_i=245, exit_i=259"
trade_0015:signal_column_true,OK,short_entry@244
trade_0015:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0015:entry_price,OK,"actual=8094.0, expected=8094.0"
trade_0015:entry_date_matches_index,OK,"actual=2016-01-05 00:00:00, index_dt=2016-01-05 00:00:00"
trade_0015:exit_bar_index,OK,"actual=259, expected=259"
trade_0015:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0015:exit_price,OK,"actual=7836.0, expected=7836.0"
trade_0015:pnl_points,OK,"actual=258.0, expected=258.0"
trade_0015:pnl_amount,OK,"actual=12860.0, expected=12860.0"
trade_0016:entry_is_next_bar,OK,"signal_i=334, entry_i=335"
trade_0016:entry_after_signal_date,OK,"signal=2016-05-23 00:00:00, entry=2016-05-24 00:00:00"
trade_0016:exit_not_before_entry,OK,"entry_i=335, exit_i=351"
trade_0016:signal_column_true,OK,long_entry@334
trade_0016:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0016:entry_price,OK,"actual=8334.0, expected=8334.0"
trade_0016:entry_date_matches_index,OK,"actual=2016-05-24 00:00:00, index_dt=2016-05-24 00:00:00"
trade_0016:exit_bar_index,OK,"actual=351, expected=351"
trade_0016:exit_reason,OK,"actual=chandelier, expected=chandelier"
trade_0016:exit_price,OK,"actual=8280.0, expected=8280.0"
trade_0016:pnl_points,OK,"actual=-54.0, expected=-54.0"
trade_0016:pnl_amount,OK,"actual=-2740.0, expected=-2740.0"
trade_0017:entry_is_next_bar,OK,"signal_i=351, entry_i=352"
trade_0017:entry_after_signal_date,OK,"signal=2016-06-16 00:00:00, entry=2016-06-17 00:00:00"
trade_0017:exit_not_before_entry,OK,"entry_i=352, exit_i=352"
trade_0017:signal_column_true,OK,short_entry@351
trade_0017:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0017:entry_price,OK,"actual=8344.0, expected=8344.0"
trade_0017:entry_date_matches_index,OK,"actual=2016-06-17 00:00:00, index_dt=2016-06-17 00:00:00"
trade_0017:exit_bar_index,OK,"actual=352, expected=352"
trade_0017:exit_reason,OK,"actual=chandelier, expected=chandelier"
trade_0017:exit_price,OK,"actual=8397.0, expected=8397.0"
trade_0017:pnl_points,OK,"actual=-53.0, expected=-53.0"
trade_0017:pnl_amount,OK,"actual=-2690.0, expected=-2690.0"
trade_0018:entry_is_next_bar,OK,"signal_i=362, entry_i=363"
trade_0018:entry_after_signal_date,OK,"signal=2016-07-01 00:00:00, entry=2016-07-04 00:00:00"
trade_0018:exit_not_before_entry,OK,"entry_i=363, exit_i=365"
trade_0018:signal_column_true,OK,long_entry@362
trade_0018:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0018:entry_price,OK,"actual=8640.0, expected=8640.0"
trade_0018:entry_date_matches_index,OK,"actual=2016-07-04 00:00:00, index_dt=2016-07-04 00:00:00"
trade_0018:exit_bar_index,OK,"actual=365, expected=365"
trade_0018:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0018:exit_price,OK,"actual=8539.0, expected=8539.0"
trade_0018:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0018:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0019:entry_is_next_bar,OK,"signal_i=389, entry_i=390"
trade_0019:entry_after_signal_date,OK,"signal=2016-08-10 00:00:00, entry=2016-08-11 00:00:00"
trade_0019:exit_not_before_entry,OK,"entry_i=390, exit_i=390"
trade_0019:signal_column_true,OK,long_entry@389
trade_0019:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0019:entry_price,OK,"actual=9125.0, expected=9125.0"
trade_0019:entry_date_matches_index,OK,"actual=2016-08-11 00:00:00, index_dt=2016-08-11 00:00:00"
trade_0019:exit_bar_index,OK,"actual=390, expected=390"
trade_0019:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0019:exit_price,OK,"actual=9024.0, expected=9024.0"
trade_0019:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0019:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0020:entry_is_next_bar,OK,"signal_i=409, entry_i=410"
trade_0020:entry_after_signal_date,OK,"signal=2016-09-07 00:00:00, entry=2016-09-08 00:00:00"
trade_0020:exit_not_before_entry,OK,"entry_i=410, exit_i=411"
trade_0020:signal_column_true,OK,long_entry@409
trade_0020:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0020:entry_price,OK,"actual=9254.0, expected=9254.0"
trade_0020:entry_date_matches_index,OK,"actual=2016-09-08 00:00:00, index_dt=2016-09-08 00:00:00"
trade_0020:exit_bar_index,OK,"actual=411, expected=411"
trade_0020:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0020:exit_price,OK,"actual=9153.0, expected=9153.0"
trade_0020:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0020:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0021:entry_is_next_bar,OK,"signal_i=412, entry_i=413"
trade_0021:entry_after_signal_date,OK,"signal=2016-09-10 00:00:00, entry=2016-09-12 00:00:00"
trade_0021:exit_not_before_entry,OK,"entry_i=413, exit_i=416"
trade_0021:signal_column_true,OK,short_entry@412
trade_0021:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0021:entry_price,OK,"actual=8983.0, expected=8983.0"
trade_0021:entry_date_matches_index,OK,"actual=2016-09-12 00:00:00, index_dt=2016-09-12 00:00:00"
trade_0021:exit_bar_index,OK,"actual=416, expected=416"
trade_0021:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0021:exit_price,OK,"actual=9084.0, expected=9084.0"
trade_0021:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0021:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0022:entry_is_next_bar,OK,"signal_i=418, entry_i=419"
trade_0022:entry_after_signal_date,OK,"signal=2016-09-21 00:00:00, entry=2016-09-22 00:00:00"
trade_0022:exit_not_before_entry,OK,"entry_i=419, exit_i=431"
trade_0022:signal_column_true,OK,long_entry@418
trade_0022:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0022:entry_price,OK,"actual=9219.0, expected=9219.0"
trade_0022:entry_date_matches_index,OK,"actual=2016-09-22 00:00:00, index_dt=2016-09-22 00:00:00"
trade_0022:exit_bar_index,OK,"actual=431, expected=431"
trade_0022:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0022:exit_price,OK,"actual=9200.0, expected=9200.0"
trade_0022:pnl_points,OK,"actual=-19.0, expected=-19.0"
trade_0022:pnl_amount,OK,"actual=-990.0, expected=-990.0"
trade_0023:entry_is_next_bar,OK,"signal_i=438, entry_i=439"
trade_0023:entry_after_signal_date,OK,"signal=2016-10-24 00:00:00, entry=2016-10-25 00:00:00"
trade_0023:exit_not_before_entry,OK,"entry_i=439, exit_i=443"
trade_0023:signal_column_true,OK,long_entry@438
