datetime,symbol,contract_month,session,open,high,low,close,volume,open_interest
2024-10-16,TMF,202410,regular,22890,23203,22853,22997,39388,9619
2024-10-17,TMF,202411,regular,23150,23275,23003,23258,63918,19938
2024-10-18,TMF,202411,regular,23836,23842,23529,23660,81092,21736
2024-10-21,TMF,202411,regular,23820,23833,23568,23580,46959,24635
2024-10-22,TMF,202411,regular,23575,23634,23333,23621,65290,26536
2024-10-23,TMF,202411,regular,23511,23511,23338,23405,57157,31412
2024-10-24,TMF,202411,regular,23373,23447,23203,23298,66969,30494
2024-10-25,TMF,202411,regular,23272,23482,23252,23479,52325,29502
2024-10-28,TMF,202411,regular,23639,23660,23215,23321,78581,30650
2024-10-29,TMF,202411,regular,23145,23146,22694,22976,87966,34587
2024-10-30,TMF,202411,regular,23072,23140,22848,22898,56537,31454
2024-11-01,TMF,202411,regular,22400,22823,22234,22778,78349,28692
2024-11-04,TMF,202411,regular,22794,23042,22700,23036,57784,26896
2024-11-05,TMF,202411,regular,22836,23204,22781,23137,60914,24467
2024-11-06,TMF,202411,regular,23274,23446,23051,23324,87713,24600
2024-11-07,TMF,202411,regular,23200,23575,23086,23528,85410,25018
2024-11-08,TMF,202411,regular,23762,23792,23532,23778,73549,24776
2024-11-11,TMF,202411,regular,23562,23630,23311,23575,73098,28485
2024-11-12,TMF,202411,regular,23023,23240,22863,22869,77726,33334
2024-11-13,TMF,202411,regular,22762,23014,22738,22781,68270,29859
2024-11-14,TMF,202411,regular,22770,22879,22578,22684,84516,30637
2024-11-15,TMF,202411,regular,22713,22928,22685,22761,64845,29858
2024-11-18,TMF,202411,regular,22642,22787,22546,22572,62643,27432
2024-11-19,TMF,202411,regular,22639,22968,22593,22854,64914,22441
2024-11-20,TMF,202411,regular,22900,22955,22670,22689,40560,12259
2024-11-21,TMF,202412,regular,22652,22732,22515,22573,67815,41281
2024-11-22,TMF,202412,regular,22801,23065,22780,23036,73963,37833
2024-11-25,TMF,202412,regular,23245,23288,23016,23065,55637,41203
2024-11-26,TMF,202412,regular,22750,22840,22616,22635,61691,46414
2024-11-27,TMF,202412,regular,22613,22688,22341,22346,63576,50643
2024-11-28,TMF,202412,regular,22298,22384,22118,22338,73372,46715
2024-11-29,TMF,202412,regular,22223,22437,22005,22312,81392,45420
2024-12-02,TMF,202412,regular,22531,22825,22500,22824,59719,39374
